category,child_category,title,description,price,nutrients,image
Бизнес Ланчи,Роллы,Ролл Темпура с лососем,"Ролл, обжаренный в тонком воздушном кляре, с начинкой из лосося, огурца и сливочного сыра.

СОСТАВ: 
Лосось, рис, сливочный сыр, огурец, тесто кляр, водоросли нори,  терияки соус, имбирь, васаби   

ВЕС: 100гр/ 4шт",330,В 100 г305.9 ккалБелки6.6 гЖиры12.4 гУглеводы42 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F179%2F358342_606046b7-84f9-4047-be7e-d2f3ee66ef81.jpg&width=669&height=669
Бизнес Ланчи,Супы,Рамен с курицей,"Суп на основе насыщенного куриного бульона, с добавлением японских специй. Подается с нежной пшеничной лапшой, маринованным яйцом и куриной грудкой под золотистой корочкой СОСТАВ: Маринованное куриное филе, лапша удон, чесночно-имбирная паста, куриное яйцо, соевая мисо паста, соевый соус, зеленый лук, куриный бульон ВЕС: 200",240,В 100 г116.2 ккалБелки7 гЖиры4.9 гУглеводы11.1 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F185%2F358342_7c532f81-6196-49d9-97f0-8c16e7f2c8bf.jpg&width=614&height=614
Бизнес Ланчи,Супы,Суп Том Ям,"Классический тайский суп с традиционными специями, нежным кокосовым молоком, куриным филе и креветками. Подается с рисом, ароматным лимоном и жгучим чили. Кстати, обязательно попробуйте этот суп с тайской лепёшкой. СОСТАВ: Креветки тигровые, маринованное куриное филе, грибы шампиньоны, имбирь, кокосовое молоко, паста Том Ям, куриный бульон, томаты черри, рис, лимон, перец чили, листья лайма, кинза ВЕС: 200/40",300,В 100 г97.1 ккалБелки3.5 гЖиры4.1 гУглеводы11.5 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F184%2F358342_882f4595-a942-4893-b878-35f7bb989af3.jpg&width=614&height=614
Бизнес Ланчи,Горячие блюда,Удон с курицей,"Пшеничная лапша с овощами и курицей и под ароматным кисло-сладким соусом с добавлением ароматного кунжутного масла. СОСТАВ: Маринованное куриное филе,лапша Удон, морковь, лук репчатый, болгарский перец, капуста пекинская, кисло-сладкий соус, соевый соус, паста чесночно-имбирная, масло растительное, масло кунжутное, кунжут, лук зеленый ВЕС: 135",270,В 100 г81.9 ккалБелки2.9 гЖиры3.2 гУглеводы10.4 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F188%2F358342_7ee24662-3cb2-44e3-bc92-29f35ee18b35.jpg&width=719&height=719
Бизнес Ланчи,Горячие блюда,Тяхан с курицей,"Традиционный японский рис, обжаренный с овощами, яйцом и нежным куриным филе под сладко-соевым соусом унаги. Посыпается кунжутом, зелёным луком и долькой лимона. СОСТАВ: Маринованное куриное филе, рис, болгарский перец, лук репчатый, морковь, пекинская капуста, куриное яйцо, соевый соус, кунжут, соус унаги, лимон, зеленый лук ВЕС: 150",270,В 100 г200.9 ккалБелки8.6 гЖиры6.4 гУглеводы27.2 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F187%2F358342_19bdc4f8-1820-46b2-af9a-322b648a129c.jpg&width=719&height=719
Бизнес Ланчи,Салаты,Чука салат с морскими водорослями и огурцом,"СОСТАВ: Салат чука, ореховый соус, кунжут ВЕС: 65",200,В 100 г143 ккалБелки5.2 гЖиры9.3 гУглеводы9.7 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F194%2F358342_cffd3b33-3c98-4b5d-9fd3-3465a33eec20.jpg&width=627&height=627
Бизнес Ланчи,Салаты,Салат Цезарь с курицей,"На подушку из хрустящего салата и спелых томатов черри мы выкладываем маринованную куриную грудку под золотистой корочкой. Салат подаем под облаком из сыра пармезан и хрустящими гренками. СОСТАВ: Маринованное куриное филе, микс салата, томаты черри, пармезан, цезарь соус, масло растительное, гренки ВЕС: 80",220,В 100 г154.4 ккалБелки7.7 гЖиры12.9 гУглеводы1.9 г,https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&background=1&format=webp&domain=ayamm-panel.s2.sellkit.ru&time=1&url=%2FNewContent%2FPlates%2Fayamm_%2F193%2F358342_ab722fef-6a49-435b-bd25-b5e0a9d49443.jpg&width=627&height=627
Бизнес Ланчи,Горячие блюда,"
Гюнику Дон","180 г

Котлета из говядины, цукини, картофельные дольки, капуста красная, соус наршараб-хойсин, кунжутное масло, зеленый лук, кунжут.",300,"88.90

ККал

6.30

Белки

10

Углеводы

2.70

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F685b4c8ec4007be03bc06c2a6b304f8e.JPEG&width=1056&height=1056
Бизнес Ланчи,Салаты,Салат Кантеки,"110 г

Красная капуста, морковь, лосось c/c, водоросли нори, бобы эдамаме, понзу, кунжут.",330,"68.80

ККал

6.90

Белки

3.90

Углеводы

2.90

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F1048%2Fthumb-big-a9e18d8b15d0c7fe6c81f25adba84b05b22ab3053577b7127d8b6c19982809de.jpg&width=1056&height=1056
Бизнес Ланчи,Роллы,Ролл Бостон,"100 г

Лосось, рис, сливочный сыр, огурцы, тесто кляр, водоросли нори, имбирь, васаби.",280,"158.60

ККал

6.30

Белки

25.20

Углеводы

3.60

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F27670a4456e070c39fbbdd1546f8ecc9.JPEG&width=1056&height=1056
Бизнес Ланчи,Роллы,Ролл Ясай,"105 г

Рис, авокадо, чука, манго, шпинат, огурец.",260,"189.70

ККал

4

Белки

35.50

Углеводы

3.50

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2Fffbf9b78a918c595012f233dc319d67e.JPEG&width=1056&height=1056
Бизнес Ланчи,Супы,"
Суп Том Кха","200 г

Бульон куриный, куриное филе, шампиньоны, томаты черри, паста том кха, молоко кокосовое, сливки, кинза, рис, лимон, перец чили, масло кунжутное, масло растительное.",280,"82

ККал

2.90

Белки

8.40

Углеводы

4.10

Жиры

* на 100 грамм",https://ayamm-panel.s2.sellkit.ru/getImage.php?compressionQuality=90&crop=0&format=webp&background=1&domain=ayamm-panel.s2.sellkit.ru&time=3&url=%2FNewContent%2FPlates%2Fayamm_%2F8aa8365e015d99c8af6ff4c640084580.JPEG&width=1056&height=1056
